gpsSpeed,gpsCourse,gpsAccuracyVert,gpsAccuracyHor,inOut
0.77,243.984375,4,25,0
0.77,243.984375,4,25,0
0.77,227.4609375,3,25,0
0.77,227.4609375,3,25,0
0.48,224.296875,4,25,0
0.48,224.296875,4,25,0
1.29,245.390625,3,25,0
1.29,245.390625,3,25,0
1.17,232.3828125,4,25,0
1.17,232.3828125,4,25,0
1.17,228.8671875,3,25,0
1.17,228.8671875,3,25,0
0.94,229.5703125,4,25,0
0.94,229.5703125,4,25,0
0.94,229.5703125,3,25,0
0.94,229.5703125,3,25,0
0.94,229.21875,4,25,0
0.94,229.21875,4,25,0
1.01,229.21875,3,25,0
1.01,229.21875,3,25,0
1.01,223.59375,4,25,0
1.01,223.59375,4,25,0
1.37,223.9453125,3,25,0
1.37,223.9453125,3,25,0
1.46,223.9453125,4,25,0
1.46,223.9453125,4,25,0
1.46,223.9453125,3,25,0
1.46,223.9453125,3,25,0
1.46,205.6640625,4,25,0
1.46,205.6640625,4,25,0
1.15,203.90625,3,25,0
1.15,203.90625,3,25,0
1.15,223.59375,4,25,0
1.15,223.59375,4,25,0
1.15,200.0390625,3,25,0
1.15,200.0390625,3,25,0
1.33,196.875,4,25,0
1.33,196.875,4,25,0
1.33,195.1171875,3,25,0
1.33,195.1171875,3,25,0
0.46,196.171875,3,25,0
0.46,196.171875,3,25,0
0.49,196.875,3,25,0
0.49,196.875,3,25,0
0.49,196.171875,3,25,0
0.49,196.171875,3,25,0
0.8,195.1171875,4,25,0
0.8,195.1171875,4,25,0
1.12,221.1328125,3,25,0
1.12,221.1328125,3,25,0
1.12,210.234375,4,25,0
1.12,210.234375,4,25,0
1.12,210.9375,3,25,0
1.12,210.9375,3,25,0
1.46,210.9375,4,25,0
1.46,210.9375,4,25,0
1.46,210.9375,3,25,0
1.46,210.9375,3,25,0
1.09,210.5859375,4,25,0
1.09,210.5859375,4,25,0
1.09,210.5859375,3,25,0
1.09,210.5859375,3,25,0
1.09,201.09375,4,25,0
1.09,201.09375,4,25,0
1.25,188.4375,3,25,0
1.25,188.4375,3,25,0
1.39,210.9375,4,25,0
1.39,210.9375,4,25,0
0.68,165.5859375,3,25,0
0.68,165.5859375,3,25,0
1.24,147.65625,4,25,0
1.24,147.65625,4,25,0
1.24,133.59375,3,25,0
1.24,133.59375,3,25,0
1.33,144.84375,4,25,0
1.33,144.84375,4,25,0
1,143.4375,3,10,0
1,143.4375,3,10,0
1.11,140.9765625,4,5,0
1.11,140.9765625,4,5,0
1,123.75,3,5,0
1,123.75,3,5,0
1.11,103.7109375,4,5,0
1.11,103.7109375,4,5,0
1.22,104.0625,3,5,0
1.22,104.0625,3,5,0
1.38,134.6484375,4,5,0
1.38,134.6484375,4,5,0
1.38,133.59375,3,5,0
1.38,133.59375,3,5,0
1.14,135.3515625,4,5,0
1.14,135.3515625,4,5,0
1.05,135,3,25,0
1.05,135,3,25,0
1.03,135,4,25,0
1.03,135,4,25,0
1.92,118.4765625,3,25,0
1.92,118.4765625,3,25,0
1.92,112.5,4,25,0
1.92,112.5,4,25,0
1.07,134.6484375,3,25,0
1.07,134.6484375,3,25,0
1.01,134.6484375,4,25,0
1.01,134.6484375,4,25,0
0.54,119.8828125,3,25,0
0.54,119.8828125,3,25,0
