indoors,created_at,session_id,gps_latitude,gps_longitude,gps_vertical_accuracy,gps_horizontal_accuracy,gps_course,gps_speed,baro_relative_altitude,baro_pressure,env_context,env_mean_bldg_floors,env_activity,city_name,country_name
0,2016-08-28T15:49:40.147Z,2016-08-28T15:49:25.146Z,51.59922546,-0.530971941,3,10,13.359375,1.580000043,-0.409156799,100.1208649,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:41.147Z,2016-08-28T15:49:25.146Z,51.59923875,-0.530972024,3,10,13.0078125,1.480000019,-0.409156799,100.1208649,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:42.147Z,2016-08-28T15:49:25.146Z,51.59925392,-0.53097412,3,10,12.65625,1.580000043,-0.480728149,100.1217194,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:43.147Z,2016-08-28T15:49:25.146Z,51.59925392,-0.53097412,4,10,12.65625,0,-0.574638367,100.1228333,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:44.147Z,2016-08-28T15:49:25.146Z,51.59925392,-0.53097412,3,10,349.8046875,0,-0.511695862,100.1220856,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:45.147Z,2016-08-28T15:49:25.146Z,51.59925392,-0.53097412,3,10,350.15625,0,-0.511695862,100.1220856,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:46.147Z,2016-08-28T15:49:25.146Z,51.59925392,-0.53097412,3,10,94.21875,0,-0.511695862,100.1220856,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:47.147Z,2016-08-28T15:49:25.146Z,51.59925392,-0.53097412,3,10,94.21875,0,-0.450271606,100.1213608,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:48.147Z,2016-08-28T15:49:25.146Z,51.59925392,-0.53097412,3,10,94.21875,0,-0.431999207,100.1211395,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:49.147Z,2016-08-28T15:49:25.146Z,51.59925392,-0.53097412,3,10,94.21875,0,-0.431999207,100.1211395,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:50.148Z,2016-08-28T15:49:25.146Z,51.59925392,-0.53097412,3,10,94.21875,0,-0.417785645,100.1209717,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:51.148Z,2016-08-28T15:49:25.146Z,51.59925392,-0.53097412,3,10,94.21875,0,-0.350776672,100.1201706,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:52.147Z,2016-08-28T15:49:25.146Z,51.59925392,-0.53097412,3,10,94.21875,0,-0.350776672,100.1201706,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:53.147Z,2016-08-28T15:49:25.146Z,51.59925392,-0.53097412,3,10,94.21875,0,-0.330467224,100.1199265,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:54.147Z,2016-08-28T15:49:25.146Z,51.59924105,-0.53100639,3,10,352.6171875,0.829999983,-0.308135986,100.1196671,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:55.147Z,2016-08-28T15:49:25.146Z,51.59925057,-0.531009072,3,10,349.453125,1.129999995,-0.308135986,100.1196671,highway,0-2,driving,gerrards cross,united kingdom
